매장명,상점번호,계정ID,조회월,날짜,광고지출,노출수,클릭수,주문수,주문금액,광고효과(%)
상상오리 경기광주점,14627925,nonsen840,2025-09,9.1,24140,1185,34,6,221000,8.84배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.2,710,82,1,0,0,0배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.3,6390,150,9,1,46500,6.96배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.4,23430,1042,33,5,160500,6.64배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.5,29110,1123,41,9,349000,11.48배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.6,39050,1699,55,6,224000,5.67배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.7,27690,1600,39,5,197500,6.83배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.8,31240,1393,44,9,312500,9.78배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.9,2130,247,3,0,0,0배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.10,19880,647,28,3,110500,5.63배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.11,17750,785,25,7,302900,15.35배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.12,29110,1872,41,8,300000,10.04배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.13,22010,1155,31,5,224500,9.97배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.14,29820,1612,42,4,111800,3.6배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.15,19170,1078,27,1,45000,2.3배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.16,7100,258,10,3,139500,19.08배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.17,17040,672,24,2,69000,3.9배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.18,16330,717,23,5,182000,10.69배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.19,23430,1636,33,8,264000,10.58배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.20,24140,1249,34,7,311000,12.28배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.21,29110,1174,41,8,319500,10.59배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.22,17750,758,25,3,130500,7.13배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.23,4970,174,7,0,0,0배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.24,10650,934,15,3,125500,11.54배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.25,16330,670,23,4,136000,7.89배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.26,15620,802,22,4,153000,9.54배
상상오리 경기광주점,14627925,nonsen840,2025-09,9.27,24850,1041,35,7,217500,8.51배
