매장명,상점번호,계정ID,조회월,총_광고비,총_광고매출,총_노출수,총_클릭수,평균_클릭률,총_주문수,평균_전환율
상상오리 경기광주점,14627925,nonsen840,2025-09,577940,5062200,28241,814,2.9%,134,16%
상상오리 경기광주점,14627925,nonsen840,2025-10,395690,2928300,34389,559,1.6%,75,13%
상상오리 경기광주점,14627925,nonsen840,2025-11,449270,3698200,12789,571,4.5%,103,18%
상상오리 경기광주점,14627925,nonsen840,2025-12,722850,5678400,39024,915,2.3%,165,18%
상상오리 경기광주점,14627925,nonsen840,2026-01,620940,4368600,54369,786,1.4%,118,15%
상상오리 공릉점,14485291,yost1234,2025-09,1302458,10406500,50087,1858,3.7%,291,16%
상상오리 공릉점,14485291,yost1234,2025-10,1462286,10757500,82971,2086,2.5%,306,15%
상상오리 공릉점,14485291,yost1234,2025-11,829283,7839400,45922,1183,2.6%,222,19%
상상오리 공릉점,14485291,yost1234,2025-12,970885,9759800,67083,1385,2.1%,286,21%
상상오리 공릉점,14485291,yost1234,2026-01,1183288,10953800,99270,1688,1.7%,326,19%
상상오리 공릉점,14485291,yost1234,2026-02,838396,7907500,58705,1196,2.0%,230,19%
상상오리 광명점,14374043,mydo511,2025-09,1808073,12341900,132664,2543,1.9%,308,12%
상상오리 광명점,14374043,mydo511,2025-10,1904541,14261500,197255,2641,1.3%,351,13%
상상오리 광명점,14374043,mydo511,2025-11,1696149,12950600,154000,2289,1.5%,330,14%
상상오리 광명점,14374043,mydo511,2025-12,1760256,16164300,164084,2366,1.4%,416,18%
상상오리 광명점,14374043,mydo511,2026-01,1722084,15032100,135580,2324,1.7%,398,17%
상상오리 광명점,14374043,mydo511,2026-02,1153737,11607300,94999,1557,1.6%,298,19%
상상오리 광안리점,14781019,ssdkbs1,2025-09,4730994,26304600,370332,6654,1.8%,687,10%
상상오리 광안리점,14781019,ssdkbs1,2025-10,3947472,22669900,369626,5552,1.5%,593,11%
상상오리 광안리점,14781019,ssdkbs1,2025-11,2404602,17654700,191314,3382,1.8%,487,14%
상상오리 광안리점,14781019,ssdkbs1,2025-12,2334406,15637900,326681,3646,1.1%,426,12%
상상오리 광안리점,14781019,ssdkbs1,2026-01,3265857,19240300,499926,4737,0.9%,597,13%
상상오리 광안리점,14781019,ssdkbs1,2026-02,3734988,20163000,513951,4908,1.0%,638,13%
상상오리 구로점,14234732,mydo51,2025-09,1925859,13149200,85383,2599,3.0%,325,13%
상상오리 구로점,14234732,mydo51,2025-10,2108886,12318900,162872,2846,1.7%,309,11%
상상오리 구로점,14234732,mydo51,2025-11,1694667,10595800,122647,2287,1.9%,265,12%
상상오리 구로점,14234732,mydo51,2025-12,1516827,13574000,78184,2047,2.6%,333,16%
상상오리 구로점,14234732,mydo51,2026-01,1364922,11114000,72642,1842,2.5%,286,16%
상상오리 구로점,14234732,mydo51,2026-02,1017393,9413800,69485,1373,2.0%,246,18%
상상오리 구리점,14502856,k00701109,2025-09,1642200,20981300,70147,2737,3.9%,598,22%
상상오리 구리점,14502856,k00701109,2025-10,1935000,22619900,111996,3225,2.9%,642,20%
상상오리 구리점,14502856,k00701109,2025-11,1279200,17196700,63023,2132,3.4%,476,22%
상상오리 구리점,14502856,k00701109,2025-12,1381200,19973600,70543,2302,3.3%,541,24%
상상오리 구리점,14502856,k00701109,2026-01,1374600,19458400,79130,2291,2.9%,536,23%
상상오리 구리점,14502856,k00701109,2026-02,848400,12459800,52235,1414,2.7%,331,23%
상상오리 구의점,14175872,ssduck3,2025-09,3306585,21080200,213981,4131,1.9%,585,14%
상상오리 구의점,14175872,ssduck3,2025-10,2845322,19213000,202930,3422,1.7%,529,15%
상상오리 구의점,14175872,ssduck3,2025-11,2505561,17743500,132349,2851,2.2%,506,18%
상상오리 구의점,14175872,ssduck3,2025-12,2716954,21291500,150678,3264,2.2%,592,18%
상상오리 구의점,14175872,ssduck3,2026-01,3076123,20532000,267609,3793,1.4%,578,15%
상상오리 구의점,14175872,ssduck3,2026-02,1661739,12236500,122226,2049,1.7%,331,16%
상상오리 군포,14566313,asdfgh0421,2025-09,1646605,12862700,117497,2445,2.1%,373,15%
상상오리 군포,14566313,asdfgh0421,2025-10,1684113,12049200,137241,2473,1.8%,353,14%
상상오리 군포,14566313,asdfgh0421,2025-11,1089600,9641500,82761,1600,1.9%,284,18%
상상오리 군포,14566313,asdfgh0421,2025-12,1389921,14014600,90631,2041,2.3%,417,20%
상상오리 군포,14566313,asdfgh0421,2026-01,1139994,11057200,103976,1674,1.6%,333,20%
상상오리 군포,14566313,asdfgh0421,2026-02,962253,9475700,93270,1413,1.5%,267,19%
상상오리 금천구청점,14610213,zinozoa1,2025-09,1988000,16534150,131346,2800,2.1%,449,16%
상상오리 금천구청점,14610213,zinozoa1,2025-10,1988000,17199600,178566,2800,1.6%,469,17%
상상오리 금천구청점,14610213,zinozoa1,2025-11,1371010,14277900,114036,1931,1.7%,395,20%
상상오리 금천구청점,14610213,zinozoa1,2025-12,1377400,16216900,74692,1940,2.6%,453,23%
상상오리 금천구청점,14610213,zinozoa1,2026-01,1490290,16984400,83181,2099,2.5%,480,23%
상상오리 금천구청점,14610213,zinozoa1,2026-02,1103340,11767800,70836,1554,2.2%,345,22%
상상오리 금촌점,14465889,didwy1223,2025-10,3600,0,1151,6,0.5%,0,0%
상상오리 금촌점,14465889,didwy1223,2025-12,9600,149500,817,16,2.0%,4,25%
상상오리 금촌점,14465889,didwy1223,2026-01,6600,35900,637,11,1.7%,1,9%
상상오리 금촌점,14465889,didwy1223,2026-02,5400,47700,708,9,1.3%,1,11%
상상오리 기흥점,14812238,hyogoo,2025-11,586510,2844600,36433,827,2.3%,79,10%
상상오리 기흥점,14812238,hyogoo,2025-12,1508986,8665600,156788,1968,1.3%,245,12%
상상오리 기흥점,14812238,hyogoo,2026-01,1926230,9342000,203445,2354,1.2%,296,13%
상상오리 기흥점,14812238,hyogoo,2026-02,1552002,7908600,150172,1844,1.2%,251,14%
상상오리 김해1호점,14781108,adltmdrn,2025-09,5018860,19188400,732741,7090,1.0%,500,7%
상상오리 김해1호점,14781108,adltmdrn,2025-10,3323835,19399800,617507,5155,0.8%,545,11%
상상오리 김해1호점,14781108,adltmdrn,2025-11,1152855,11920000,132810,2055,1.5%,330,16%
상상오리 김해1호점,14781108,adltmdrn,2025-12,1231395,11501900,95341,2195,2.3%,327,15%
상상오리 김해1호점,14781108,adltmdrn,2026-01,2402631,15470600,284137,3471,1.2%,453,13%
상상오리 김해1호점,14781108,adltmdrn,2026-02,2464671,11140500,316686,2778,0.9%,304,11%
상상오리 김해율하점,14781420,ssdkyh,2025-09,4147656,22005000,620037,5936,1.0%,548,9%
상상오리 김해율하점,14781420,ssdkyh,2025-10,4171437,25001600,780869,5867,0.8%,617,11%
상상오리 김해율하점,14781420,ssdkyh,2025-11,2960604,19663400,612524,4164,0.7%,525,13%
상상오리 김해율하점,14781420,ssdkyh,2025-12,2741013,18613000,368410,3833,1.0%,479,12%
상상오리 김해율하점,14781420,ssdkyh,2026-01,3681396,17955400,791397,4596,0.6%,459,10%
상상오리 김해율하점,14781420,ssdkyh,2026-02,2428668,13021800,499777,2709,0.5%,366,14%
상상오리 노원점,14300685,js5021,2025-09,841958,8576000,41747,1378,3.3%,236,17%
상상오리 노원점,14300685,js5021,2025-10,711815,8284800,38207,1165,3.0%,221,19%
상상오리 노원점,14300685,js5021,2025-11,533403,6886900,23339,873,3.7%,185,21%
상상오리 노원점,14300685,js5021,2025-12,1225018,12643500,60164,1738,2.9%,348,20%
상상오리 노원점,14300685,js5021,2026-01,1172439,12033800,70304,1649,2.3%,342,21%
상상오리 노원점,14300685,js5021,2026-02,1048014,10991800,67928,1474,2.2%,301,20%
상상오리 당진점,14586569,ksill7,2025-09,1161592,9631100,230738,1942,0.8%,252,13%
상상오리 당진점,14586569,ksill7,2025-10,761467,7363700,192274,1267,0.7%,187,15%
상상오리 당진점,14586569,ksill7,2025-11,596693,5145400,111318,893,0.8%,134,15%
상상오리 당진점,14586569,ksill7,2025-12,1491728,12513300,252462,2128,0.8%,331,16%
상상오리 당진점,14586569,ksill7,2026-01,1529582,11234500,378975,2182,0.6%,313,14%
상상오리 당진점,14586569,ksill7,2026-02,874147,7969400,202210,1247,0.6%,223,18%
상상오리 대전1호,14595122,ssduckdj1,2025-09,3614006,20992200,583474,5386,0.9%,562,10%
상상오리 대전1호,14595122,ssduckdj1,2025-10,2596770,17339500,414424,3870,0.9%,473,12%
상상오리 대전1호,14595122,ssduckdj1,2025-11,1684881,12930800,197496,2511,1.3%,354,14%
상상오리 대전1호,14595122,ssduckdj1,2025-12,3797269,20536500,768472,4889,0.6%,563,12%
상상오리 대전1호,14595122,ssduckdj1,2026-01,4960971,23705600,884234,6166,0.7%,660,11%
상상오리 대전1호,14595122,ssduckdj1,2026-02,2999862,14791100,504445,3725,0.7%,414,11%
