h_strnm,month,dong,total_sales,order_count
상상오리 간석구월점(사용안함),2025-09,간석동,20724900,529
상상오리 간석구월점(사용안함),2025-09,구월동,12858100,368
상상오리 간석구월점(사용안함),2025-09,만수동,12668200,333
상상오리 간석구월점(사용안함),2025-09,문학동,128000,4
상상오리 간석구월점(사용안함),2025-09,부개동,330000,10
상상오리 간석구월점(사용안함),2025-09,부평동,2049000,62
상상오리 간석구월점(사용안함),2025-09,십정동,4529100,113
상상오리 간석구월점(사용안함),2025-09,주안동,2257600,57
상상오리 간석구월점(사용안함),2025-10,간석동,12830400,320
상상오리 간석구월점(사용안함),2025-10,관교동,764500,21
상상오리 간석구월점(사용안함),2025-10,구월2동,51800,2
상상오리 간석구월점(사용안함),2025-10,구월3동,139600,4
상상오리 간석구월점(사용안함),2025-10,구월동,10561700,293
상상오리 간석구월점(사용안함),2025-10,만수동,7402800,193
상상오리 간석구월점(사용안함),2025-10,문학동,150000,5
상상오리 간석구월점(사용안함),2025-10,부평동,1321400,19
상상오리 간석구월점(사용안함),2025-10,십정동,1971600,56
상상오리 간석구월점(사용안함),2025-10,장수동,160000,5
상상오리 간석구월점(사용안함),2025-10,주안동,926100,23
상상오리 간석구월점(사용안함),2025-11,가좌동,165000,9
상상오리 간석구월점(사용안함),2025-11,간석2동,136000,4
상상오리 간석구월점(사용안함),2025-11,간석동,13970000,467
상상오리 간석구월점(사용안함),2025-11,구월1동,68000,2
상상오리 간석구월점(사용안함),2025-11,구월2동,88000,2
상상오리 간석구월점(사용안함),2025-11,구월3동,88000,2
상상오리 간석구월점(사용안함),2025-11,구월동,9241600,302
상상오리 간석구월점(사용안함),2025-11,남촌동,416500,11
상상오리 간석구월점(사용안함),2025-11,도화동,71400,6
상상오리 간석구월점(사용안함),2025-11,만수동,7328000,266
상상오리 간석구월점(사용안함),2025-11,문학동,111200,8
상상오리 간석구월점(사용안함),2025-11,부평동,1941000,72
상상오리 간석구월점(사용안함),2025-11,산곡동,71400,6
상상오리 간석구월점(사용안함),2025-11,십정동,1800200,65
상상오리 간석구월점(사용안함),2025-11,장수동,370000,8
상상오리 간석구월점(사용안함),2025-11,주안동,2746000,82
상상오리 간석구월점(사용안함),2025-12,간석동,17105300,672
상상오리 간석구월점(사용안함),2025-12,관교동,192000,18
상상오리 간석구월점(사용안함),2025-12,구산동,273000,7
상상오리 간석구월점(사용안함),2025-12,구월동,11932800,470
상상오리 간석구월점(사용안함),2025-12,남촌동,643700,23
상상오리 간석구월점(사용안함),2025-12,도화동,66000,6
상상오리 간석구월점(사용안함),2025-12,만수동,13612500,467
상상오리 간석구월점(사용안함),2025-12,문학동,186000,13
상상오리 간석구월점(사용안함),2025-12,부개동,190000,5
상상오리 간석구월점(사용안함),2025-12,부평동,4415300,127
상상오리 간석구월점(사용안함),2025-12,산곡동,113400,6
상상오리 간석구월점(사용안함),2025-12,십정동,5463600,198
상상오리 간석구월점(사용안함),2025-12,장수동,145000,5
상상오리 간석구월점(사용안함),2025-12,주안동,2209500,88
상상오리 간석구월점(사용안함),2026-01,가좌동,269400,6
상상오리 간석구월점(사용안함),2026-01,간석동,15544500,551
상상오리 간석구월점(사용안함),2026-01,구월동,10581200,346
상상오리 간석구월점(사용안함),2026-01,남촌동,384000,10
상상오리 간석구월점(사용안함),2026-01,만수동,10699800,311
상상오리 간석구월점(사용안함),2026-01,부개동,438500,15
상상오리 간석구월점(사용안함),2026-01,부평동,2388400,71
상상오리 간석구월점(사용안함),2026-01,십정동,2917600,129
상상오리 간석구월점(사용안함),2026-01,주안동,1801900,52
상상오리 공릉점,2025-09,갈매동,846000,25
상상오리 공릉점,2025-09,공릉동,26811000,770
상상오리 공릉점,2025-09,망우동,683000,22
상상오리 공릉점,2025-09,면목동,496800,12
상상오리 공릉점,2025-09,묵동,9637600,301
상상오리 공릉점,2025-09,미아동,265000,10
상상오리 공릉점,2025-09,번동,163600,8
